exp,verb,item,sent,bias,isHigh ,gender,score,score_raw,score_1000,score_mbert
ic_mismatch,alcanzó,0,el hombre alcanzó a la mujer porque estaba [+male].,66.7,1,m,0.02551696468,0.01029727235,0.03222679911,0.1501460305
ic_mismatch,alcanzó,0,el hombre alcanzó a la mujer porque estaba [+female].,66.7,0,f,0.9744830353,0.3932488579,0.6135398789,0.276988367
ic_mismatch,alcanzó,0,la mujer alcanzó al hombre porque estaba [+male].,66.7,0,m,1,0.3687468767,0.6502632237,0.2673999015
ic_mismatch,alcanzó,0,la mujer alcanzó al hombre porque estaba [+female].,66.7,1,f,0,0,0.02044652006,0.1500092479
ic_mismatch,contempló,0,el hombre contempló a la mujer porque estaba [+male].,25.9,1,m,0,0,0.03004669657,0.1382321771
ic_mismatch,contempló,0,el hombre contempló a la mujer porque estaba [+female].,25.9,0,f,1,0.3943487648,0.6076413266,0.3040914382
ic_mismatch,contempló,0,la mujer contempló al hombre porque estaba [+male].,25.9,0,m,1,0.3973422023,0.6728892712,0.2470676692
ic_mismatch,contempló,0,la mujer contempló al hombre porque estaba [+female].,25.9,1,f,0,0,0.01718981287,0.1822704233
ic_mismatch,demostró,0,el hombre demostró a la mujer porque estaba [+male].,75.5,1,m,0.01704661728,0.005992494058,0.1465015488,0.1201327719
ic_mismatch,demostró,0,el hombre demostró a la mujer porque estaba [+female].,75.5,0,f,0.9829533827,0.3455431778,0.5304358555,0.3201600369
ic_mismatch,demostró,0,la mujer demostró al hombre porque estaba [+male].,75.5,0,m,0.8735269053,0.2265131827,0.5642197931,0.2441070932
ic_mismatch,demostró,0,la mujer demostró al hombre porque estaba [+female].,75.5,1,f,0.1264730947,0.03279558197,0.06388407535,0.1743854641
ic_mismatch,descubrió,0,el hombre descubrió a la mujer porque estaba [+male].,35.8,1,m,0.01902061027,0.01043922268,0.0802408085,0.1402473287
ic_mismatch,descubrió,0,el hombre descubrió a la mujer porque estaba [+female].,35.8,0,f,0.9809793897,0.5383981979,0.6881003319,0.3675465946
ic_mismatch,descubrió,0,la mujer descubrió al hombre porque estaba [+male].,35.8,0,m,0.8689584053,0.4292560192,0.661398648,0.5560112877
ic_mismatch,descubrió,0,la mujer descubrió al hombre porque estaba [+female].,35.8,1,f,0.1310415947,0.06473312527,0.1138747451,0.05711063131
ic_mismatch,eligió,0,el hombre eligió a la mujer porque estaba [+male].,9.4,1,m,0.0563607073,0.02909543458,0.123306547,0.06934757379
ic_mismatch,eligió,0,el hombre eligió a la mujer porque estaba [+female].,9.4,0,f,0.9436392927,0.4871407161,0.6900678856,0.3849694845
ic_mismatch,eligió,0,la mujer eligió al hombre porque estaba [+male].,9.4,0,m,0.962302766,0.4802732095,0.773021825,0.3113330075
ic_mismatch,eligió,0,la mujer eligió al hombre porque estaba [+female].,9.4,1,f,0.03769723398,0.01881421544,0.0398564992,0.1218900549
ic_mismatch,encontró,0,el hombre encontró a la mujer porque estaba [+male].,76.6,1,m,0.03707923654,0.02471689135,0.0676993956,0.09291822353
ic_mismatch,encontró,0,el hombre encontró a la mujer porque estaba [+female].,76.6,0,f,0.9629207635,0.6418796638,0.7586145055,0.3648123199
ic_mismatch,encontró,0,la mujer encontró al hombre porque estaba [+male].,76.6,0,m,0.9536208436,0.5274810921,0.7362589314,0.4493810154
ic_mismatch,encontró,0,la mujer encontró al hombre porque estaba [+female].,76.6,1,f,0.04637915638,0.02565393597,0.05532731814,0.07092356711
ic_mismatch,escuchó,0,el hombre escuchó a la mujer porque estaba [+male].,33.3,1,m,0,0,0.07664139479,0.1024587571
ic_mismatch,escuchó,0,el hombre escuchó a la mujer porque estaba [+female].,33.3,0,f,1,0.2691047033,0.4349081127,0.2980201251
ic_mismatch,escuchó,0,la mujer escuchó al hombre porque estaba [+male].,33.3,0,m,1,0.3349956898,0.5861880181,0.21816742
ic_mismatch,escuchó,0,la mujer escuchó al hombre porque estaba [+female].,33.3,1,f,0,0,0.03380649543,0.159434127
ic_mismatch,levantó,0,el hombre levantó a la mujer porque estaba [+male].,15.1,1,m,0,0,0.01332054093,0.07046980981
ic_mismatch,levantó,0,el hombre levantó a la mujer porque estaba [+female].,15.1,0,f,1,0.5687939841,0.6680230266,0.3938199613
ic_mismatch,levantó,0,la mujer levantó al hombre porque estaba [+male].,15.1,0,m,1,0.6536079594,0.7549014783,0.3437604681
ic_mismatch,levantó,0,la mujer levantó al hombre porque estaba [+female].,15.1,1,f,0,0,0.007705397968,0.1172115034
ic_mismatch,llamó,0,el hombre llamó a la mujer porque estaba [+male].,76.5,1,m,0,0,0.02986620386,0.0788741014
ic_mismatch,llamó,0,el hombre llamó a la mujer porque estaba [+female].,76.5,0,f,1,0.4610536937,0.5918010173,0.3201973033
ic_mismatch,llamó,0,la mujer llamó al hombre porque estaba [+male].,76.5,0,m,0.9827040991,0.5140830548,0.6831347182,0.1819640503
ic_mismatch,llamó,0,la mujer llamó al hombre porque estaba [+female].,76.5,1,f,0.01729590085,0.009048023261,0.02488954243,0.1766367157
ic_mismatch,miró,0,el hombre miró a la mujer porque estaba [+male].,35.3,1,m,0,0,0.05045279752,0.153254769
ic_mismatch,miró,0,el hombre miró a la mujer porque estaba [+female].,35.3,0,f,1,0.348562655,0.5625430972,0.2543519625
ic_mismatch,miró,0,la mujer miró al hombre porque estaba [+male].,35.3,0,m,1,0.4254196528,0.7120006956,0.1703564182
ic_mismatch,miró,0,la mujer miró al hombre porque estaba [+female].,35.3,1,f,0,0,0.01304699553,0.2055060153
ic_mismatch,pagó,0,el hombre pagó a la mujer porque estaba [+male].,74,1,m,0.02104679008,0.009733447805,0.06695261539,0.1251278494
ic_mismatch,pagó,0,el hombre pagó a la mujer porque estaba [+female].,74,0,f,0.9789532099,0.4527336443,0.6185643402,0.3190094202
ic_mismatch,pagó,0,la mujer pagó al hombre porque estaba [+male].,74,0,m,1,0.4684133334,0.6780962425,0.1983879718
ic_mismatch,pagó,0,la mujer pagó al hombre porque estaba [+female].,74,1,f,0,0,0.01791115474,0.2122964958
ic_mismatch,preguntó por,0,el hombre preguntó por la mujer porque estaba [+male].,66.7,1,m,0.1641220155,0.07350112405,0.2015703811,0.2245090887
ic_mismatch,preguntó por,0,el hombre preguntó por la mujer porque estaba [+female].,66.7,0,f,0.8358779845,0.3743432667,0.5058989295,0.1816212506
ic_mismatch,preguntó por,0,la mujer preguntó por el hombre porque estaba [+male].,66.7,0,m,0.9662584135,0.3659446687,0.6528950271,0.1457082669
ic_mismatch,preguntó por,0,la mujer preguntó por el hombre porque estaba [+female].,66.7,1,f,0.03374158653,0.01277872827,0.05109605446,0.2315790382
ic_mismatch,rompió,0,el hombre rompió a la mujer porque estaba [+male].,84.3,1,m,0,0,0.04013592194,0.104170784
ic_mismatch,rompió,0,el hombre rompió a la mujer porque estaba [+female].,84.3,0,f,1,0.5775209935,0.7420980985,0.3564968491
ic_mismatch,rompió,0,la mujer rompió al hombre porque estaba [+male].,84.3,0,m,1,0.5856633857,0.8111091998,0.3110469148
ic_mismatch,rompió,0,la mujer rompió al hombre porque estaba [+female].,84.3,1,f,0,0,0.009879933765,0.1444290031
ic_mismatch,usó,0,el hombre usó a la mujer porque estaba [+male].,66.7,1,m,0,0,0.01724412131,0.118161418
ic_mismatch,usó,0,el hombre usó a la mujer porque estaba [+female].,66.7,0,f,1,0.6656711288,0.8381297455,0.3069598241
ic_mismatch,usó,0,la mujer usó al hombre porque estaba [+male].,66.7,0,m,0.9751208005,0.4668119084,0.781560353,0.2568664104
ic_mismatch,usó,0,la mujer usó al hombre porque estaba [+female].,66.7,1,f,0.02487919946,0.0119102234,0.01808146147,0.1350113627
ic_mismatch,visitó,0,el hombre visitó a la mujer porque estaba [+male].,25,1,m,0,0,0.01502448311,0.08654720674
ic_mismatch,visitó,0,el hombre visitó a la mujer porque estaba [+female].,25,0,f,1,0.4580035238,0.6913310308,0.3699815384
ic_mismatch,visitó,0,la mujer visitó al hombre porque estaba [+male].,25,0,m,1,0.4596864143,0.7101034963,0.3501963856
ic_mismatch,visitó,0,la mujer visitó al hombre porque estaba [+female].,25,1,f,0,0,0.0173048231,0.09159640479
ic_mismatch,aceptó,0,el hombre aceptó a la mujer porque estaba [+male].,66.7,1,m,0.16011274,0.07832183037,0.2006205889,0.1164960621
ic_mismatch,aceptó,0,el hombre aceptó a la mujer porque estaba [+female].,66.7,0,f,0.83988726,0.4108449304,0.5510067329,0.302085132
ic_mismatch,aceptó,0,la mujer aceptó al hombre porque estaba [+male].,66.7,0,m,1,0.4530439246,0.7300825844,0.1717095885
ic_mismatch,aceptó,0,la mujer aceptó al hombre porque estaba [+female].,66.7,1,f,0,0,0.02882956219,0.2020359273
ic_mismatch,criticó,0,el hombre criticó a la mujer porque estaba [+male].,25.5,1,m,0,0,0.01640919424,0.07186058478
ic_mismatch,criticó,0,el hombre criticó a la mujer porque estaba [+female].,25.5,0,f,1,0.5553674428,0.755740356,0.3633275946
ic_mismatch,criticó,0,la mujer criticó al hombre porque estaba [+male].,25.5,0,m,1,0.5847268272,0.7994087986,0.3149506018
ic_mismatch,criticó,0,la mujer criticó al hombre porque estaba [+female].,25.5,1,f,0,0,0.009045039302,0.09198469738
